keyword,intent,type,target_url,priority,current_rank,notes
window cleaning website design,commercial,money,/window-cleaning-website-design,P0,,primary money term
window cleaning websites,commercial,money,/window-cleaning-website-design,P0,,
websites for window cleaners,commercial,money,/window-cleaning-website-design,P0,,
window cleaning seo,commercial,money,/window-cleaning-seo,P0,,
seo for window cleaning companies,commercial,money,/window-cleaning-seo,P0,,
window cleaning marketing,commercial,money,/window-cleaning-marketing,P0,,
marketing for window cleaning business,commercial,money,/window-cleaning-marketing,P0,,
window cleaning lead generation,commercial,money,/window-cleaning-leads,P1,,
how to get window cleaning customers,info,blog+money,/window-cleaning-leads,P1,,
pressure washing website design,commercial,money,/pressure-washing-website-design,P1,,
pressure washing seo,commercial,money,/pressure-washing-seo,P1,,
pressure washing marketing,commercial,money,/pressure-washing-marketing,P2,,
exterior cleaning website design,commercial,money,/exterior-cleaning-website-design,P2,,
gutter cleaning website design,commercial,money,/gutter-cleaning-website-design,P2,,
contractor website design,commercial,hub,/contractor-website-design,P2,,broad expansion
home service website design,commercial,money,/home-services-website-design,P3,,
contractor gorilla alternative,commercial,comparison,/contractor-gorilla-alternative,P1,,high-convert capture
best window cleaning website builder,commercial,comparison,/blog,P2,,
window pros digital alternative,commercial,comparison,/alternatives/window-pros-digital,P3,,
best marketing agency for window cleaners,commercial,comparison,/blog,P1,,include self in roundup
how much does a window cleaning website cost,info,blog,/blog,P1,,also drives AI answers
window cleaning website examples,info,blog,/blog,P1,,
what should a window cleaning website include,info,blog,/blog,P2,,
how to get more window cleaning leads,info,blog,/blog,P1,,
window cleaning google business profile optimization,info,blog,/blog,P2,,
window cleaning seo checklist,info,blog,/blog,P1,,downloadable lead magnet
how to rank a window cleaning business on google,info,blog,/blog,P1,,
window cleaning google ads cost,info,blog,/blog,P2,,
how to get window cleaning reviews,info,blog,/blog,P2,,
window cleaning pricing guide,info,blog,/blog,P1,,proves niche expertise
best crm for window cleaners,info,blog,/blog,P2,,
free website audit window cleaning,commercial,lead-magnet,/free-website-audit,P0,,reuse existing audit engine
